id,電話番号,家賃,管理費_共益費,敷金,礼金,保証金,敷引_償却,所在地,駅徒歩,間取り,専有面積,築年数,階,向き,建物種別,間取り詳細,構造,階建,築年月,エネルギー消費性能,断熱性能,目安光熱費,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,保証会社,ほか諸費用,備考,create_at
1,06-6309-5159,7万円,10000円,-,-,-,-,大阪府大阪市淀川区加島４,"ＪＲ東西線/加島駅 歩5分
阪急神戸線/神崎川駅 歩25分
阪神本線/杭瀬駅 歩33分",1LDK,33.99m2,築10年,2階,南,アパート,洋4.51 LDK8.66,木造,2階/3階建,2016年9月,-,-,-,1.7万円2年,-,即,仲介,二人入居可/ペット相談,11614328-556,100457356887,27戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 加入要　※,バイク置場代５５００円／駐輪場代５００円,ペットの飼育可能となっております。※賃料3.000円アップ物件名称：ガレリア加島,2025-09-03 04:30:47
2,072-763-4146,7万円,10000円,-,-,-,-,大阪府大阪市淀川区加島４,"ＪＲ東西線/加島駅 歩6分
阪急神戸線/神崎川駅 歩27分
ＪＲ東西線/御幣島駅 歩28分",1LDK,31.93m2,築10年,3階,南,アパート,洋4.51 LDK8.66,木造,3階/3階建,2016年9月,-,-,-,1.7万円2年,近隣50m20000円,相談,仲介,ペット相談,15474458,100452818486,27戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 総賃料の30％プラス5、000円　更新料（年額10、000円）,,福知山線 尼崎駅徒歩29分/鍵交換費用 契約時（税込）/16500円、室内清掃費用 退去時 （税込）/33000円,2025-09-03 04:30:51
3,06-6491-3345,7万円,10000円,-,-,-,-,大阪府大阪市淀川区加島４,"ＪＲ東西線/加島駅 歩5分
ＪＲ東海道本線/尼崎駅 歩28分
阪神本線/杭瀬駅 歩36分",1LDK,31.93m2,築10年,2階,南,アパート,洋4.51 LDK8.66,木造,2階/3階建,2016年9月,-,-,-,1.7万円2年,-,即,仲介,単身者可/二人入居可/ペット相談,-,100070329128,27戸,2025/08/31,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回月額総賃料の30％＋5000円・更新年間10000円、口座振替手数料月額330円（税込）,自転車駐輪代：1台550円（税込）、原付駐輪：1台2200円（税込）、バイク駐輪：5500円（税込）、室内清掃費用  退去時 33000円(税込),巡回管理/早期解約違約金（1年以内の解約の場合総賃料の2ヶ月分、2年以内の解約の場合総賃料の１ヶ月分）,2025-09-03 04:30:54
4,072-778-9100,8.9万円,3500円,-,14万円,-,-,大阪府大阪市淀川区西三国４,"阪急宝塚線/三国駅 歩6分
阪急宝塚線/十三駅 歩27分
地下鉄御堂筋線/東三国駅 歩14分",1LDK,46.22m2,築17年,1階,南東,アパート,洋6 LDK12.60,木造,1階/2階建,2009年1月,-,-,-,要,敷地内16500円,25年10月中旬,仲介,-,368-5552425,100458109849,-,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 契約時保証委託料：２２，０００円／月額保証委託料：賃料総額の２．２％又は５．５％,町内会費（月額）　200円,契約時に退去時のクリーニング費として￥60000が必要となります。/更新事務手数料22000円/収納手数料（月額）170円/24時間サポート費用（月額）330円/鍵セット費3300円,2025-09-03 04:30:58
5,06-6147-2950,7.7万円,13000円,-,10万円,-,-,大阪府大阪市淀川区十三元今里１,"ＪＲ東海道本線/塚本駅 歩13分
阪急神戸線/十三駅 歩9分
阪急神戸線/神崎川駅 歩20分",1LDK,30.43m2,築5年,3階,南,マンション,洋4 LDK8.0,鉄筋コン,3階/8階建,2020年10月,-,-,-,2.4万円2年,敷地内22000円,即,仲介,二人入居可/ペット相談,589949,100453085519,21戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 都度ご確認下さい。,更新料　賃料0.50ヶ月分　水道代　月額2750円,巡回管理/当物件の周辺にはスーパー・コンビニ・飲食店・公園・病院など多数の生活にかかせない商業施設があり、住環境の整った環境となっております！マンション共用部も清掃など行き届いており、しっかり管理されております。他階にも空室が御座いますので、お気軽にお問い合わせ下さい！,2025-09-03 04:31:02
6,0078-600680129,7.9万円,13000円,-,10万円,-,-,大阪府大阪市淀川区十三元今里１,"阪急神戸線/十三駅 歩11分
ＪＲ東海道本線/塚本駅 歩12分
阪急神戸線/神崎川駅 歩24分",1LDK,30.43m2,築5年,5階,南,マンション,洋4.5 LDK8,鉄筋コン,5階/8階建,2020年10月,-,-,-,2.4万円2年,-,相談,仲介,ペット相談,10249046,100450719062,21戸,2025/09/03,次回更新日は情報更新日より８日以内,,全保連利用必 初回保証料:総賃料40％、 更新:10、000円／年,更新料1ヵ月　水道代2750円,阪急電鉄神戸線 中津駅徒歩29分/駐輪代（税込）/550円、鍵交換代（税込）/22000円、ペット飼育時（賃料）・賃料3000円アップもしくは礼金5万円アップ/85000円、ペット飼育時（礼金）・賃料3000円アップもしくは礼金5万円アップ/200000円、水道代／2人入居の場合/5500円、退去時ハウスクリーニング代（税込）/49500円,2025-09-03 04:31:05
7,06-6886-7933,8万円,13000円,-,10万円,-,-,大阪府大阪市淀川区十三元今里１,"阪急京都線/十三駅 歩9分
ＪＲ東海道本線/塚本駅 歩10分
阪急宝塚線/三国駅 歩29分",1LDK,30.43m2,築5年,3階,南,マンション,洋4 LDK8.0,鉄筋コン,3階/8階建,2020年10月,-,-,-,2.4万円2年,-,即,仲介,二人入居可/ペット相談,s1050350902,100452969961,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回50％  審査内容により変動あり,更新料　賃料1.00ヶ月分,駐輪場550円、小型バイク3 300円、中型・大型6 600円（各月額）/小型犬or猫1匹可（家賃3千円or礼金5万円UP）/2人入居共益費3 000円UP・水道代5 500円/退去時クリーニング費用49 500円,2025-09-03 04:31:08
8,0078-600684136,8万円,13000円,-,10万円,-,-,大阪府大阪市淀川区十三元今里１,"阪急神戸線/十三駅 歩11分
ＪＲ東海道本線/塚本駅 歩13分
ＪＲ東西線/御幣島駅 歩26分",1LDK,30.43m2,築5年,6階,南,マンション,洋4.5 LDK8,鉄筋コン,6階/8階建,2020年10月,-,-,-,2.4万円2年,近隣150m16500円,相談,仲介,二人入居可/ペット相談,15578337,100453476720,21戸,2025/09/03,次回更新日は情報更新日より８日以内,,全保連利用必 初回保証料：50％,更新料1ヵ月　水道代2750円,阪神電鉄本線 姫島駅徒歩30分/鍵交換代/22000円、室内除菌消臭費/16500円、退去時クリーニング代（税込）/49500円、水道代／２人入居の場合/5500円、駐輪場／月額/550円、ペット飼育時（賃料の場合）／賃料3千円アップもしくは礼金5万円アップ/86000円、ペット飼育時（礼金の場合）／賃料3千円アップもしくは礼金5万円アップ/200000円,2025-09-03 04:31:12
9,06-6345-0550,8万円,13000円,-,10万円,-,-,大阪府大阪市淀川区十三元今里１,"阪急京都線/十三駅 歩9分
ＪＲ東海道本線/塚本駅 歩13分
阪急神戸線/神崎川駅 歩22分",1LDK,30.43m2,築5年,6階,南,マンション,洋4 LDK8,鉄筋コン,6階/8階建,2020年12月,-,-,-,2.4万円2年,近隣300m22000円,相談,仲介,二人入居可/ペット相談/事務所利用不可/ルームシェア不可,3519-00-603,100458129711,21戸,2025/09/03,次回更新日は情報更新日より１５日以内,普通借家 2年,全保連利用必 全保連：初回月額総賃料50％、口座振替手数料220円、13，000円/年,現状有姿　※室内現状有姿※インターネット無料ではありません！！審査全保連のみ　初回50％◆小型犬or猫飼飼育相談可(家賃3千円or礼金5万円UP)◆2人入居可◆鍵交換2.2万円◆駐輪場550円◆退、駐輪場代 550円/月,巡回管理/ペット飼育相談可(家賃3千円or礼金5万円UP) 退去時清掃代：35，000円(税別),2025-09-03 04:32:15
10,06-6160-5800,8.2万円,13000円,-,10万円,-,-,大阪府大阪市淀川区十三元今里１,"阪急神戸線/十三駅 歩10分
ＪＲ東海道本線/塚本駅 歩13分
阪急神戸線/神崎川駅 歩24分",1LDK,30.4m2,築5年,5階,南,マンション,洋4.5 LDK8.0,鉄筋コン,5階/8階建,2020年10月,-,-,-,要,-,相談,仲介,二人入居可/ペット相談,641687,100451877616,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 お問い合わせください。,更新料　賃料0.50ヶ月分　駐車場代　月額550円,お得に新居をご提供させて下さい！当店は迅速・丁寧・笑顔を大事にしているお店です。 ☆QUOカード3千円GET 〇こちらのお部屋をお電話からのお問合せでご成約された方対象です。「Quoキャンペーン」とお伝えください。 〇電話はちょっと・・という方はofficialLINEにご登録。　https://lin.ee/6GPIPT9　 お得な情報と共に時間をかけてじっくりとお部屋選びが可能でございます＾＾,2025-09-03 08:17:44
